Event Date,Type,Event,Location,Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
04/19/2018,RNY General Presentation (GEN),RNY Presentation,Morrisania Dialysis,1160 Teller Avenue,Bronx,10456,40.831568,-73.912013,204,16,17701,2002160,2024300045,East Concourse-Concourse Village
04/18/2018,RNY for Kids (KIDS),Disaster Preparedness &  Disaster Relief Wellness Fair for Kids,Horace Mann School Middle Division Atrium,"246th Street and Post Road
Bronx, NY",Bronx,,,,,,,,,
04/18/2018,RNY Fair (FAIR),CommUNITY Event in Brooklyn,Marcy Hub,832 Marcy Ave,Brooklyn,11216,40.685004,-73.947152,303,36,249,3051641,3018230038,Bedford
04/18/2018,RNY General Presentation (GEN),CWA Local RNY,CWA Local,3950 Amboy RD,Staten Island,10308,40.551074,-74.149784,503,51,13203,5107661,5051420022,Great Kills
04/16/2018,RNY for Kids (KIDS),Ready Girl,PS 122,21-21 Ditmars Blvd,Queens,11105,40.780347,-73.916655,401,22,103,4019633,4008800001,Steinway
04/16/2018,RNY General Presentation (GEN),RNY Senior Workshop,DellaMonica-Steinway Senior Center,23-56 Broadway,Queens,11106,40.764285,-73.930011,401,22,53,4006560,4005660050,Astoria
04/16/2018,RNY General Presentation (GEN),Get Informed,The Veterans Residence,22 E 119th St,Manhattan,10035,40.802263,-73.944274,111,9,184,1076434,1017450005,East Harlem North
04/15/2018,RNY Fair (FAIR),Ready NY Fair: National MS Walk,Pier 97,40 Hudson River Greenway,Manhattan,,,,,,,,,
04/15/2018,RNY General Presentation (GEN),Bronx Fire Safety and Preparedness Presentation,Saint Helena's Church,1315 Olmstead Ave,Bronx,10462,40.83415,-73.854725,209,18,222,2028944,2039320086,Parkchester
04/14/2018,RNY Fair (FAIR),Bronx Preparedness Weekend: Health Fair @ Bronx River Community Center,Bronx River Community Center,1619 East 174th Street,Bronx,10472,40.83395,-73.876147,209,18,62,2092909,2038860002,West Farms-Bronx River
